StratumCode,OldStratumCode,DepthIntervalm,Areanmi2
1010,1,NA,2516
1020,2,NA,2078
1030,3,NA,566
1040,4,NA,188
1050,5,NA,1475
1060,6,NA,2554
1070,7,NA,514
1080,8,NA,230
1090,9,NA,1522
1100,10,NA,2722
1110,11,NA,622
1120,12,NA,176
1130,13,NA,2374
1140,14,NA,656
1150,15,NA,230
1160,16,NA,2980
1170,17,NA,360
1180,18,NA,172
1190,19,NA,2454
1200,20,NA,1221
1210,21,NA,424
1220,22,NA,454
1230,23,NA,1016
1240,24,NA,2569
1250,25,NA,390
1260,26,NA,1014
1270,27,NA,720
1280,28,NA,2249
1290,29,NA,3245
1300,30,NA,619
1310,31,NA,2185
1320,32,NA,655
1330,33,NA,861
1340,34,NA,1766
1350,35,NA,1097
1360,36,NA,4069
1370,37,NA,2108
1380,38,NA,2560
1390,39,NA,730
1400,40,NA,578
1410,41,NA,1570
1420,42,NA,156
1430,43,NA,860
1440,44,NA,934
1450,45,NA,150
1460,46,NA,247
1470,47,NA,1159
1480,48,NA,1184
1490,49,NA,198
1610,61,NA,1318
1620,62,NA,243
1630,63,NA,86
1640,64,NA,60
1650,65,NA,2832
1660,66,NA,555
1670,67,NA,86
1680,68,NA,52
1690,69,NA,2433
1700,70,NA,1024
1710,71,NA,281
1720,72,NA,105
1730,73,NA,2145
1740,74,NA,1273
1750,75,NA,139
1760,76,NA,60
